condition,n_registered,n_gate1,n_gate2,n_gate3,pct_gate0_to_gate3,pct_gate0_to_gate3_ci_lo,pct_gate0_to_gate3_ci_hi,n_gate3_given_gate2,pct_gate0_to_gate3_given_gate2,n_tier0_invisible,snapshot_date
tuberculosis,5,5,0,2,0.4,0.0,0.8,0,0.0,2,ictrp_50trial
hiv,5,5,0,0,0.0,0.0,0.0,0,0.0,2,ictrp_50trial
sickle cell,5,5,0,1,0.2,0.0,0.6,0,0.0,2,ictrp_50trial
schistosomiasis,5,5,0,0,0.0,0.0,0.0,0,0.0,2,ictrp_50trial
maternal sepsis,5,5,0,2,0.4,0.0,0.8,0,0.0,2,ictrp_50trial
neonatal sepsis,5,5,0,0,0.0,0.0,0.0,0,0.0,2,ictrp_50trial
snakebite,5,5,0,1,0.2,0.0,0.6,0,0.0,2,ictrp_50trial
soil-transmitted helminths,5,5,0,0,0.0,0.0,0.0,0,0.0,2,ictrp_50trial
cervical cancer,5,5,0,1,0.2,0.0,0.6,0,0.0,2,ictrp_50trial
cholera,5,5,0,0,0.0,0.0,0.0,0,0.0,2,ictrp_50trial
